Date,Hour,Price (â‚¬/MWh),Baseload,Peakload
2025-06-15,00 - 01,51.35,17.44,2.61
2025-06-15,01 - 02,28.31,17.44,2.61
2025-06-15,02 - 03,26.87,17.44,2.61
2025-06-15,03 - 04,21.88,17.44,2.61
2025-06-15,04 - 05,18.78,17.44,2.61
2025-06-15,05 - 06,17.86,17.44,2.61
2025-06-15,06 - 07,18.47,17.44,2.61
2025-06-15,07 - 08,15.13,17.44,2.61
2025-06-15,08 - 09,8.97,17.44,2.61
2025-06-15,09 - 10,4.55,17.44,2.61
2025-06-15,10 - 11,0.0,17.44,2.61
2025-06-15,11 - 12,-0.02,17.44,2.61
2025-06-15,12 - 13,-1.21,17.44,2.61
2025-06-15,13 - 14,-5.6,17.44,2.61
2025-06-15,14 - 15,-5.0,17.44,2.61
2025-06-15,15 - 16,-2.0,17.44,2.61
2025-06-15,16 - 17,-0.01,17.44,2.61
2025-06-15,17 - 18,-0.01,17.44,2.61
2025-06-15,18 - 19,12.37,17.44,2.61
2025-06-15,19 - 20,19.29,17.44,2.61
2025-06-15,20 - 21,33.96,17.44,2.61
2025-06-15,21 - 22,39.96,17.44,2.61
2025-06-15,22 - 23,61.7,17.44,2.61
2025-06-15,23 - 24,53.03,17.44,2.61
2025-06-16,00 - 01,24.99,35.38,23.8
2025-06-16,01 - 02,19.96,35.38,23.8
2025-06-16,02 - 03,16.58,35.38,23.8
2025-06-16,03 - 04,13.27,35.38,23.8
2025-06-16,04 - 05,12.35,35.38,23.8
2025-06-16,05 - 06,19.27,35.38,23.8
2025-06-16,06 - 07,22.05,35.38,23.8
2025-06-16,07 - 08,53.16,35.38,23.8
2025-06-16,08 - 09,58.49,35.38,23.8
2025-06-16,09 - 10,20.0,35.38,23.8
2025-06-16,10 - 11,4.5,35.38,23.8
2025-06-16,11 - 12,0.0,35.38,23.8
2025-06-16,12 - 13,0.0,35.38,23.8
2025-06-16,13 - 14,0.0,35.38,23.8
2025-06-16,14 - 15,0.0,35.38,23.8
2025-06-16,15 - 16,0.0,35.38,23.8
2025-06-16,16 - 17,1.03,35.38,23.8
2025-06-16,17 - 18,12.36,35.38,23.8
2025-06-16,18 - 19,75.3,35.38,23.8
2025-06-16,19 - 20,113.86,35.38,23.8
2025-06-16,20 - 21,108.36,35.38,23.8
2025-06-16,21 - 22,84.75,35.38,23.8
2025-06-16,22 - 23,106.59,35.38,23.8
2025-06-16,23 - 24,82.32,35.38,23.8
2025-06-17,00 - 01,55.73,47.12,31.93
2025-06-17,01 - 02,21.73,47.12,31.93
2025-06-17,02 - 03,25.89,47.12,31.93
2025-06-17,03 - 04,25.45,47.12,31.93
2025-06-17,04 - 05,13.47,47.12,31.93
2025-06-17,05 - 06,30.38,47.12,31.93
2025-06-17,06 - 07,37.45,47.12,31.93
2025-06-17,07 - 08,57.51,47.12,31.93
2025-06-17,08 - 09,67.17,47.12,31.93
2025-06-17,09 - 10,38.01,47.12,31.93
2025-06-17,10 - 11,4.48,47.12,31.93
2025-06-17,11 - 12,0.0,47.12,31.93
2025-06-17,12 - 13,-0.01,47.12,31.93
2025-06-17,13 - 14,-0.01,47.12,31.93
2025-06-17,14 - 15,-0.01,47.12,31.93
2025-06-17,15 - 16,0.05,47.12,31.93
2025-06-17,16 - 17,12.8,47.12,31.93
2025-06-17,17 - 18,50.91,47.12,31.93
2025-06-17,18 - 19,94.78,47.12,31.93
2025-06-17,19 - 20,115.0,47.12,31.93
2025-06-17,20 - 21,126.68,47.12,31.93
2025-06-17,21 - 22,115.67,47.12,31.93
2025-06-17,22 - 23,122.86,47.12,31.93
2025-06-17,23 - 24,114.9,47.12,31.93
